address,rent,BR,Ba,sqft,url,source
"110 Somerset St New Brunswick, NJ 08901",3912,2,2,1113,https://www.trulia.com/building/the-vue-110-somerset-st-new-brunswick-nj-08901-1001522305,Redfin
"110 Somerset St New Brunswick, NJ 08901",3918,2,2,962,https://www.trulia.com/building/the-vue-110-somerset-st-new-brunswick-nj-08901-1001522305,Redfin
"60 Paterson St New Brunswick, NJ 08901",2125,1,1,810,https://www.trulia.com/building/skyline-tower-60-paterson-st-new-brunswick-nj-08901-1002115118,Skyline Tower
"60 Paterson St New Brunswick, NJ 08901",2150,1,1,915,https://www.trulia.com/building/skyline-tower-60-paterson-st-new-brunswick-nj-08901-1002115118,Skyline Tower
"60 Paterson St New Brunswick, NJ 08901",2665,2,1,1040,https://www.trulia.com/building/skyline-tower-60-paterson-st-new-brunswick-nj-08901-1002115118,Skyline Tower
"60 Paterson St New Brunswick, NJ 08901",2800,2,1,917,https://www.trulia.com/building/skyline-tower-60-paterson-st-new-brunswick-nj-08901-1002115118,Skyline Tower
"60 Paterson St New Brunswick, NJ 08901",2800,2,1.5,1139,https://www.trulia.com/building/skyline-tower-60-paterson-st-new-brunswick-nj-08901-1002115118,Skyline Tower
"434 Livingston Ave New Brunswick, NJ 08901",1749,1,1,500,https://www.trulia.com/building/livingston-terrace-434-livingston-ave-new-brunswick-nj-08901-1002385134,Trulia
"11 Us Highway 1 New Brunswick, NJ 08901",2501,1,1,810,https://www.trulia.com/building/the-edge-at-raritan-heights-11-us-highway-1-new-brunswick-nj-08901-2749343387,The Edge
"11 Us Highway 1 New Brunswick, NJ 08901",2548,1,1,856,https://www.trulia.com/building/the-edge-at-raritan-heights-11-us-highway-1-new-brunswick-nj-08901-2749343387,The Edge
"11 Us Highway 1 New Brunswick, NJ 08901",2742,1,1,878,https://www.trulia.com/building/the-edge-at-raritan-heights-11-us-highway-1-new-brunswick-nj-08901-2749343387,The Edge
"11 Us Highway 1 New Brunswick, NJ 08901",3061,2,2,1144,https://www.trulia.com/building/the-edge-at-raritan-heights-11-us-highway-1-new-brunswick-nj-08901-2749343387,The Edge
"11 Us Highway 1 New Brunswick, NJ 08901",3191,2,2,1248,https://www.trulia.com/building/the-edge-at-raritan-heights-11-us-highway-1-new-brunswick-nj-08901-2749343387,The Edge
"11 Us Highway 1 New Brunswick, NJ 08901",3096,2,2,1463,https://www.trulia.com/building/the-edge-at-raritan-heights-11-us-highway-1-new-brunswick-nj-08901-2749343387,The Edge
"110 Somerset St New Brunswick, NJ 08901",3069,1,1,773,https://www.trulia.com/building/the-vue-110-somerset-st-new-brunswick-nj-08901-1001522305,The Vue
"110 Somerset St New Brunswick, NJ 08901",3099,1,1,790,https://www.trulia.com/building/the-vue-110-somerset-st-new-brunswick-nj-08901-1001522305,The Vue
"110 Somerset St New Brunswick, NJ 08901",3259,1,1,843,https://www.trulia.com/building/the-vue-110-somerset-st-new-brunswick-nj-08901-1001522305,The Vue
"110 Somerset St New Brunswick, NJ 08901",3891,2,2,1113,https://www.trulia.com/building/the-vue-110-somerset-st-new-brunswick-nj-08901-1001522305,The Vue
